Generation,Best_Fitness,Mean_Fitness,Std_Fitness,Overall_Best
1,0.9797030119864841,0.6997587152901206,0.3179302147447623,0.9797030119864841
2,0.9888437129164096,0.7541421960308848,0.3101049595205337,0.9888437129164096
3,0.9888437129164096,0.8404022794743612,0.1282610478646666,0.9888437129164096
4,0.9894606459031875,0.78855488441332,0.3245263280616309,0.9894606459031875
5,0.9906887090601083,0.802973703996142,0.3256131203071304,0.9906887090601083
6,0.9921061789739569,0.8167532066724148,0.24552488679715695,0.9921061789739569
7,0.9921061789739569,0.8691084196779991,0.2520662688334829,0.9921061789739569
8,0.9921061789739569,0.860975775723356,0.28641736155573105,0.9921061789739569
9,0.9940293710433051,0.894307714146873,0.1809004053377875,0.9940293710433051
10,0.9940293710433051,0.8258677078383,0.3356941371239151,0.9940293710433051
11,0.9940293710433051,0.8260155725104615,0.2511414830972688,0.9940293710433051
12,0.9940293710433051,0.872486582109021,0.2585456997536529,0.9940293710433051
13,0.9940293710433051,0.9271962647170775,0.12483762631518654,0.9940293710433051
14,0.9940293710433051,0.8891227133297553,0.15290735128871447,0.9940293710433051
15,0.9943566250370137,0.8686221391759763,0.24739794310763785,0.9943566250370137
16,0.9943566250370137,0.8742427010653296,0.21682670352803848,0.9943566250370137
17,0.9943566250370137,0.8526322018009654,0.22372111531223737,0.9943566250370137
18,0.9946697864162507,0.9231014208190379,0.1342872718587089,0.9946697864162507
19,0.9946697864162507,0.8674718688508896,0.19911097377341083,0.9946697864162507
20,0.9946697864162507,0.8643115690227148,0.21590779423952358,0.9946697864162507
21,0.9946697864162507,0.8831213163158096,0.17296649148465437,0.9946697864162507
22,0.9946697864162507,0.8719177240479214,0.1860936743218739,0.9946697864162507
23,0.9946697864162507,0.9403625720607461,0.07644438447966335,0.9946697864162507
24,0.9946697864162507,0.8777099900488461,0.19509567937982936,0.9946697864162507
25,0.9946697864162507,0.8516484004545131,0.28586910151611067,0.9946697864162507
26,0.9946697864162507,0.8702884749733877,0.21763038479774124,0.9946697864162507
27,0.9946697864162507,0.8857727039517118,0.13465224497110564,0.9946697864162507
28,0.9946697864162507,0.878914072330512,0.23887048125753402,0.9946697864162507
29,0.9946697864162507,0.9384955659582238,0.07032558215765639,0.9946697864162507
30,0.9948783235836773,0.831734627095941,0.26780587457121857,0.9948783235836773
31,0.9948783235836773,0.8407499623377462,0.2217819756091453,0.9948783235836773
32,0.9948783235836773,0.8553919479807387,0.20617632555825774,0.9948783235836773
33,0.9948783235836773,0.9042241285130473,0.14502440601150982,0.9948783235836773
34,0.9948783235836773,0.9164915097967007,0.11216117597893,0.9948783235836773
35,0.9948783235836773,0.8602459285046795,0.1612293188169196,0.9948783235836773
36,0.9948783235836773,0.8673396050901676,0.23065643305828898,0.9948783235836773
37,0.9948783235836773,0.9200885453230501,0.13577434191089338,0.9948783235836773
38,0.9948783235836773,0.9266821925698838,0.12811297364438348,0.9948783235836773
39,0.9948783235836773,0.8903403373340236,0.13308351292941362,0.9948783235836773
40,0.9948783235836773,0.9344281809944006,0.0709225004545985,0.9948783235836773
41,0.9948783235836773,0.867207624888361,0.15630062123344274,0.9948783235836773
42,0.9948783235836773,0.8940603321886889,0.16604159716318637,0.9948783235836773
43,0.9948783235836773,0.9230339288984355,0.10881975412287179,0.9948783235836773
44,0.9948783235836773,0.8807994466079885,0.25710390620970675,0.9948783235836773
45,0.9948783235836773,0.9508384677064284,0.070042855199165,0.9948783235836773
46,0.9948783235836773,0.9206748926212837,0.1366016880239207,0.9948783235836773
47,0.9948783235836773,0.9166250459828151,0.202988075424434,0.9948783235836773
48,0.9948783235836773,0.9097711380173789,0.170146246603757,0.9948783235836773
49,0.9948783235836773,0.9098947244872722,0.12424813190938658,0.9948783235836773
50,0.9948783235836773,0.9204444459866735,0.13446273769298123,0.9948783235836773
51,0.9948783235836773,0.9092225221683572,0.13591182585384268,0.9948783235836773
52,0.9948783235836773,0.9074994374896422,0.12751459651980548,0.9948783235836773
53,0.9948783235836773,0.937131693550901,0.1445585793515939,0.9948783235836773
54,0.9948783235836773,0.8833392787576207,0.21606183614371272,0.9948783235836773
55,0.9948783235836773,0.8679036747826134,0.2785243830816157,0.9948783235836773
56,0.9948783235836773,0.9054671849627016,0.1687685019145906,0.9948783235836773
57,0.9948783235836773,0.8560060108421942,0.21046073741971838,0.9948783235836773
58,0.9948783235836773,0.8966602628797898,0.23145154338115953,0.9948783235836773
59,0.9948783235836773,0.8592929631411905,0.24056828406356537,0.9948783235836773
60,0.9948783235836773,0.8887305218708969,0.21619106663966178,0.9948783235836773
61,0.9948783235836773,0.862795926466624,0.2162166724431309,0.9948783235836773
62,0.9948783235836773,0.8870375354948773,0.26003775263666307,0.9948783235836773
63,0.9948783235836773,0.828159800989614,0.24600566681610653,0.9948783235836773
64,0.9948783235836773,0.8728775980547836,0.20203809223606303,0.9948783235836773
65,0.9948783235836773,0.8873041319214907,0.16004832902499788,0.9948783235836773
66,0.9948783235836773,0.9061913828833781,0.11637197946879253,0.9948783235836773
67,0.9948783235836773,0.8232855767621903,0.28970754769425233,0.9948783235836773
68,0.9948783235836773,0.8738862833434843,0.16000910110958194,0.9948783235836773
69,0.9948783235836773,0.8778262476871319,0.146731121036703,0.9948783235836773
70,0.9948783235836773,0.8444559462095613,0.1993136471566784,0.9948783235836773
71,0.9948783235836773,0.8719017812112191,0.1668519731679331,0.9948783235836773
72,0.9948783235836773,0.9103661025680997,0.11678893197448983,0.9948783235836773
73,0.9948783235836773,0.9090663795833458,0.13527833406836773,0.9948783235836773
74,0.9948783235836773,0.9037011868802028,0.1291042029249292,0.9948783235836773
75,0.9948783235836773,0.8555371178663205,0.24170199246442967,0.9948783235836773
76,0.9948783235836773,0.8587105663801854,0.1995592433467998,0.9948783235836773
77,0.9948783235836773,0.8823795959973622,0.16260697071439223,0.9948783235836773
78,0.9948783235836773,0.9156288922731329,0.10372908292565373,0.9948783235836773
79,0.9948783235836773,0.8473851189889199,0.2832082559541942,0.9948783235836773
80,0.9948783235836773,0.9082796693579996,0.17012552618061122,0.9948783235836773
81,0.9948783235836773,0.9041600447321236,0.11209512520023082,0.9948783235836773
82,0.9948783235836773,0.8764094550106432,0.1813340629030123,0.9948783235836773
83,0.9948783235836773,0.8535558958709574,0.22134220483616848,0.9948783235836773
84,0.9948783235836773,0.8350881743384058,0.3100717850552242,0.9948783235836773
85,0.9948783235836773,0.9129845394930547,0.127311355182848,0.9948783235836773
86,0.9948783235836773,0.829081928643277,0.24045827701196598,0.9948783235836773
87,0.9948783235836773,0.867901652875109,0.16619374202420745,0.9948783235836773
88,0.9948783235836773,0.8096151025989602,0.30698931991345024,0.9948783235836773
89,0.9948783235836773,0.8293744191420187,0.26098576970052484,0.9948783235836773
90,0.9948783235836773,0.8538784625605851,0.31308330858747746,0.9948783235836773
91,0.9948783235836773,0.8998876001156509,0.1337581498130544,0.9948783235836773
92,0.9948783235836773,0.8470908788348627,0.2470982471872165,0.9948783235836773
93,0.9948783235836773,0.9327922112573483,0.07910265878690152,0.9948783235836773
94,0.9948783235836773,0.9138551118715809,0.14416387577905607,0.9948783235836773
95,0.9948783235836773,0.8683834309539838,0.20867046898723587,0.9948783235836773
96,0.9948783235836773,0.8663526935329386,0.1911708226011038,0.9948783235836773
97,0.9948783235836773,0.8368307194702571,0.22098040399724772,0.9948783235836773
